TimeDeltaIndex,Time_s,COP,P_elec_kW,P_cond_kW,T_cond_in_degC,T_cond_out_degC,T_eva_in_degC,T_eva_out_degC,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
388800,388800.78,1.9,1558.56,2959.01,50,80.2,12.89,10.9,4.03,2961.65,80.48,50,1
389400,389400.78,1.89,1551.27,2934.01,50,80.18,12.89,10.91,4.3,2940.93,80.35,50,1
390000,390000.78,1.88,1543.5,2907.44,50,80.17,12.89,10.91,4.5,2914.02,80.25,50,1
390600,390600.78,1.88,1535.7,2880.88,50,80.15,12.89,10.91,4.7,2887.1,80.15,50,1
391200,391200.78,1.87,1527.88,2854.31,50,80.13,12.89,10.91,4.9,2860.19,80.05,50,1
391800,391800.78,1.86,1520.04,2827.75,50,80.12,12.89,10.91,5.1,2833.27,79.95,50,1
392400,392400.78,1.85,1512.18,2801.25,50,80.1,12.89,10.91,5.3,2806.36,79.85,50,1
393000,393000.78,1.85,1506.72,2784.45,50,80.04,12.89,10.9,5.5,2779.45,79.75,50,1
393600,393600.78,1.84,1501.3,2767.85,50,79.98,12.89,10.9,5.63,2762.3,79.68,50,1
394200,394200.78,1.84,1495.88,2751.25,50,79.93,12.89,10.9,5.77,2745.15,79.62,50,1
394800,394800.78,1.83,1490.45,2734.65,50,79.87,12.89,10.9,5.9,2728.01,79.55,50,1
395400,395400.78,1.83,1485.01,2718.05,50,79.81,12.89,10.9,6.03,2710.86,79.48,50,1
396000,396000.78,1.83,1479.76,2702.09,50,79.75,12.89,10.9,6.17,2693.71,79.42,50,1
396600,396600.78,1.82,1475.84,2690.18,50,79.71,12.89,10.9,6.3,2676.56,79.35,50,1
397200,397200.78,1.82,1472.1,2678.85,50,79.67,12.89,10.9,6.33,2665.13,79.33,50,1
397800,397800.78,1.82,1468.35,2667.52,50,79.62,12.89,10.9,6.37,2653.7,79.32,50,1
398400,398400.78,1.81,1464.59,2656.19,50,79.58,12.89,10.9,6.4,2642.27,79.3,50,1
399000,399000.81,1.81,1460.83,2644.86,50,79.54,12.89,10.9,6.43,2630.83,79.28,50,1
399600,399600.81,1.81,1457.32,2634.33,50,79.5,12.89,10.9,6.47,2619.4,79.27,50,1
400200,400200.81,1.81,1455.86,2628.37,50,79.53,12.89,10.9,6.5,2607.97,79.25,50,1
400800,400800.81,1.8,1454.56,2622.94,50,79.57,12.89,10.9,6.45,2602.1,79.28,50,1
401400,401400.81,1.8,1453.26,2617.52,50,79.6,12.89,10.9,6.4,2596.23,79.3,50,1
402000,402000.81,1.8,1451.96,2612.09,50,79.63,12.89,10.9,6.35,2590.36,79.33,50,1
402600,402600.81,1.8,1450.65,2606.67,50,79.67,12.89,10.9,6.3,2584.48,79.35,50,1
403200,403200.81,1.79,1449.29,2601.07,50,79.7,12.89,10.9,6.25,2578.61,79.38,50,1
403800,403800.81,1.8,1457.02,2622.96,50,79.82,12.89,10.88,6.2,2572.77,79.4,50,1
404400,404400.81,1.81,1464.57,2644.33,50,79.95,12.89,10.88,6.05,2591.71,79.48,50,1
405000,405000.81,1.81,1472.11,2665.69,50,80.07,12.89,10.88,5.9,2610.64,79.55,50,1
405600,405600.81,1.82,1479.64,2687.06,50,80.2,12.89,10.88,5.75,2629.58,79.63,50,1
406200,406200.81,1.82,1487.16,2708.42,50,80.33,12.89,10.88,5.6,2648.52,79.7,50,1
406800,406800.81,1.83,1494.44,2729.01,50,80.45,12.89,10.88,5.45,2667.45,79.78,50,1
407400,407400.81,1.84,1504.78,2762.8,50,80.49,12.89,10.88,5.3,2686.41,79.85,50,1
408000,408000.81,1.85,1514.93,2796.08,50,80.53,12.89,10.88,5.13,2717.68,79.93,50,1
408600,408600.81,1.86,1525.03,2829.36,50,80.58,12.89,10.88,4.97,2748.95,80.02,50,1
409200,409200.81,1.86,1535.09,2862.65,50,80.62,12.89,10.88,4.8,2780.23,80.1,50,1
409800,409800.81,1.87,1545.12,2895.93,50,80.66,12.89,10.88,4.63,2811.5,80.18,50,1
410400,410400.81,1.88,1554.88,2928.45,50,80.7,12.89,10.88,4.47,2842.77,80.27,50,1
411000,411000.81,1.89,1562.59,2953.61,50,80.75,12.89,10.88,4.3,2874.03,80.35,50,1
411600,411600.81,1.9,1570.05,2977.99,50,80.8,12.89,10.88,4.2,2896.7,80.4,50,1
412200,412200.81,1.9,1577.5,3002.36,50,80.85,12.89,10.88,4.1,2919.37,80.45,50,1
412800,412800.81,1.91,1584.92,3026.74,50,80.9,12.89,10.88,4,2942.04,80.5,50,1
413400,413400.81,1.92,1592.33,3051.12,50,80.95,12.89,10.88,3.9,2964.7,80.55,50,1
414000,414000.81,1.92,1599.54,3074.83,50,81,12.89,10.88,3.8,2987.37,80.6,50,1
414600,414600.84,1.93,1612.74,3120.3,50,81.04,12.89,10.87,3.7,3010.07,80.65,50,1
415200,415200.84,1.95,1625.69,3165.1,50,81.08,12.89,10.87,3.6,3052.44,80.7,50,1
415800,415800.84,1.96,1638.58,3209.9,50,81.12,12.89,10.87,3.5,3094.8,80.75,50,1
416400,416400.84,1.97,1651.41,3254.7,50,81.17,12.89,10.87,3.4,3137.17,80.8,50,1
417000,417000.84,1.98,1664.17,3299.5,50,81.21,12.89,10.87,3.3,3179.54,80.85,50,1
417600,417600.84,1.99,1676.74,3343.81,50,81.25,12.89,10.87,3.2,3221.91,80.9,50,1
418200,418200.84,1.99,1678.43,3348.35,50,81.29,12.89,10.89,3.1,3264.22,80.95,50,1
418800,418800.84,2,1680,3352.46,50,81.33,12.89,10.89,2.98,3268.22,81.01,50,1
419400,419400.84,2,1681.57,3356.56,50,81.38,12.89,10.89,2.87,3272.22,81.07,50,1
420000,420000.84,2,1683.14,3360.66,50,81.42,12.89,10.89,2.75,3276.22,81.13,50,1
420600,420600.84,2,1684.7,3364.77,50,81.46,12.89,10.89,2.63,3280.22,81.18,50,1
421200,421200.84,2,1686.04,3368.04,50,81.5,12.89,10.89,2.52,3284.22,81.24,50,1
421800,421800.84,1.99,1683.07,3355.47,50,81.54,12.89,10.9,2.4,3288.2,81.3,50,1
422400,422400.84,1.99,1679.86,3342.09,50,81.58,12.89,10.9,2.3,3275.73,81.35,50,1
423000,423000.84,1.99,1676.64,3328.71,50,81.63,12.89,10.9,2.2,3263.26,81.4,50,1
423600,423600.84,1.98,1673.42,3315.33,50,81.67,12.89,10.9,2.1,3250.8,81.45,50,1
424200,424200.84,1.98,1670.18,3301.95,50,81.71,12.89,10.9,2,3238.33,81.5,50,1
424800,424800.84,1.97,1666.75,3287.9,50,81.75,12.89,10.9,1.9,3225.87,81.55,50,1
425400,425400.84,1.96,1656.85,3250.14,50,81.8,12.89,10.91,1.8,3213.37,81.6,50,1
426000,426000.84,1.95,1646.7,3211.71,50,81.85,12.89,10.91,1.7,3176.94,81.65,50,1
426600,426600.84,1.94,1636.49,3173.28,50,81.9,12.89,10.91,1.6,3140.52,81.7,50,1
427200,427200.84,1.93,1626.22,3134.86,50,81.95,12.89,10.91,1.5,3104.1,81.75,50,1
427800,427800.84,1.92,1615.89,3096.43,50,82,12.89,10.91,1.4,3067.67,81.8,50,1
428400,428400.84,1.9,1605.3,3057.32,50,82.05,12.89,10.91,1.3,3031.25,81.85,50,1
429000,429000.84,1.89,1591.4,3007.17,50,82.09,12.89,10.92,1.2,2994.81,81.9,50,1
429600,429600.84,1.87,1577.22,2956.38,50,82.13,12.89,10.92,1.1,2946.65,81.95,50,1
430200,430200.88,1.86,1562.92,2905.59,50,82.18,12.89,10.92,1,2898.5,82,50,1
430800,430800.88,1.84,1548.5,2854.8,50,82.22,12.89,10.92,0.9,2850.34,82.05,50,1
431400,431400.88,1.83,1533.97,2804.02,50,82.26,12.89,10.92,0.8,2802.18,82.1,50,1
432000,432000.88,1.81,1519.19,2752.8,50,82.3,12.89,10.92,0.7,2754.02,82.15,50,1
432600,432600.88,1.81,1521.03,2757.9,50,82.33,12.89,10.89,0.6,2705.94,82.2,50,1
433200,433200.88,1.81,1522.72,2762.52,50,82.37,12.89,10.89,0.48,2710.17,82.26,50,1
433800,433800.88,1.82,1524.41,2767.15,50,82.4,12.89,10.89,0.37,2714.39,82.32,50,1
434400,434400.88,1.82,1526.1,2771.77,50,82.43,12.89,10.89,0.25,2718.62,82.38,50,1
435000,435000.88,1.82,1528.74,2779.61,50,82.47,12.89,10.89,0.13,2722.85,82.43,50,1
435600,435600.88,1.82,1529.12,2779.86,50,82.5,12.89,10.89,0.02,2727.07,82.49,50,1
436200,436200.88,1.83,1536.95,2805.15,50,82.53,12.89,10.88,-0.1,2731.33,82.55,50,1
436800,436800.88,1.83,1544.39,2829.27,50,82.57,12.89,10.88,-0.25,2755.94,82.63,50,1
437400,437400.88,1.84,1551.8,2853.38,50,82.6,12.89,10.88,-0.4,2780.55,82.7,50,1
438000,438000.88,1.85,1559.2,2877.5,50,82.63,12.89,10.88,-0.55,2805.16,82.78,50,1
438600,438600.88,1.85,1566.57,2901.61,50,82.67,12.89,10.88,-0.7,2829.77,82.85,50,1
439200,439200.88,1.86,1573.66,2924.8,50,82.7,12.89,10.88,-0.85,2854.38,82.93,50,1
439800,439800.88,1.86,1578.63,2940.79,50,82.73,12.89,10.88,-1,2878.98,83,50,1
440400,440400.88,1.87,1583.34,2955.86,50,82.77,12.89,10.88,-1.13,2895.77,83.07,50,1
441000,441000.88,1.87,1588.03,2970.94,50,82.8,12.89,10.88,-1.27,2912.55,83.13,50,1
441600,441600.88,1.87,1592.72,2986.02,50,82.83,12.89,10.88,-1.4,2929.34,83.2,50,1
442200,442200.88,1.88,1597.4,3001.09,50,82.87,12.89,10.88,-1.53,2946.12,83.27,50,1
442800,442800.88,1.88,1601.97,3015.82,50,82.9,12.89,10.88,-1.67,2962.91,83.33,50,1
443400,443400.88,1.89,1607.15,3033.53,50,82.91,12.89,10.88,-1.8,2979.7,83.4,50,1
444000,444000.88,1.89,1612.24,3050.98,50,82.92,12.89,10.88,-1.88,3000.31,83.44,50,1
444600,444600.88,1.9,1617.31,3068.43,50,82.93,12.89,10.88,-1.97,3020.92,83.48,50,1
445200,445200.88,1.9,1622.38,3085.87,50,82.93,12.89,10.88,-2.05,3041.54,83.53,50,1
445800,445800.91,1.91,1627.43,3103.32,50,82.94,12.89,10.88,-2.13,3062.15,83.57,50,1
446400,446400.91,1.91,1632.49,3120.83,50,82.95,12.89,10.88,-2.22,3082.76,83.61,50,1
447000,447000.91,1.92,1643.29,3158.36,50,82.97,12.89,10.87,-2.3,3103.41,83.65,50,1
447600,447600.91,1.93,1654.05,3195.9,50,82.98,12.89,10.87,-2.37,3144.03,83.68,50,1
448200,448200.91,1.94,1664.75,3233.44,50,83,12.89,10.87,-2.43,3184.65,83.72,50,1
448800,448800.91,1.95,1675.41,3270.98,50,83.02,12.89,10.87,-2.5,3225.27,83.75,50,1
449400,449400.91,1.96,1686.03,3308.51,50,83.03,12.89,10.87,-2.57,3265.9,83.78,50,1
450000,450000.91,1.97,1696.53,3345.8,50,83.05,12.89,10.87,-2.63,3306.52,83.82,50,1
450600,450600.91,1.99,1712.48,3403.07,50,83.07,12.89,10.86,-2.7,3347.17,83.85,50,1
451200,451200.91,2,1728.25,3460.06,50,83.08,12.89,10.86,-2.78,3407.2,83.89,50,1
451800,451800.91,2.02,1743.92,3517.05,50,83.1,12.89,10.86,-2.87,3467.22,83.93,50,1
452400,452400.91,2.03,1759.49,3574.04,50,83.12,12.89,10.86,-2.95,3527.24,83.98,50,1
453000,453000.91,2.05,1774.98,3631.03,50,83.13,12.89,10.86,-3.03,3587.27,84.02,50,1
453600,453600.91,2.06,1790.33,3687.88,50,83.15,12.89,10.86,-3.12,3647.29,84.06,50,1
454200,454200.91,2.08,1814.71,3779.57,50,83.16,12.89,10.85,-3.2,3707.37,84.1,50,1
454800,454800.91,2.11,1838.82,3871.1,50,83.17,12.89,10.85,-3.25,3802.83,84.13,50,1
455400,455400.91,2.13,1862.71,3962.63,50,83.18,12.89,10.85,-3.3,3898.29,84.15,50,1
456000,456000.91,2.15,1886.39,4054.16,50,83.18,12.89,10.85,-3.35,3993.75,84.18,50,1
456600,456600.91,2.17,1909.88,4145.69,50,83.19,12.89,10.85,-3.4,4089.21,84.2,50,1
457200,457200.91,2.19,1933.14,4237.1,50,83.2,12.89,10.85,-3.45,4184.68,84.23,50,1
457800,457800.91,2.2,1940.91,4267.11,50,83.22,12.89,10.87,-3.5,4280.04,84.25,50,1
458400,458400.91,2.21,1948.64,4297.06,50,83.23,12.89,10.87,-3.55,4314.68,84.28,50,1
459000,459000.91,2.21,1956.36,4327.01,50,83.25,12.89,10.87,-3.6,4349.31,84.3,50,1
459600,459600.91,2.22,1964.06,4356.96,50,83.27,12.89,10.88,-3.65,4383.95,84.33,50,1
460200,460200.91,2.22,1971.74,4386.91,50,83.28,12.89,10.88,-3.7,4418.58,84.35,50,1
460800,460800.91,2.23,1979.25,4416.24,50,83.3,12.89,10.88,-3.75,4453.22,84.38,50,1
461400,461400.94,2.22,1969.52,4380.06,50,83.24,12.89,10.9,-3.8,4487.75,84.4,50,1
462000,462000.94,2.22,1959.69,4343.61,50,83.18,12.89,10.9,-3.78,4456.67,84.39,50,1
462600,462600.94,2.21,1949.85,4307.16,50,83.12,12.89,10.91,-3.77,4425.59,84.38,50,1
463200,463200.94,2.2,1939.98,4270.72,50,83.07,12.89,10.91,-3.75,4394.51,84.37,50,1
463800,463800.94,2.19,1930.09,4234.27,50,83.01,12.89,10.91,-3.73,4363.43,84.37,50,1
464400,464400.94,2.19,1920.08,4197.43,50,82.95,12.89,10.91,-3.72,4332.35,84.36,50,1
465000,465000.94,2.18,1902.11,4138.84,50,82.69,12.89,10.91,-3.7,4301.23,84.35,50,1
465600,465600.94,2.17,1884.19,4080.57,50,82.43,12.89,10.92,-3.32,4248.8,84.16,50,1
466200,466200.94,2.16,1866.24,4022.31,50,82.17,12.89,10.92,-2.93,4196.38,83.97,50,1
466800,466800.94,2.14,1848.25,3964.05,50,81.92,12.89,10.92,-2.55,4143.95,83.77,50,1
467400,467400.94,2.13,1830.22,3905.78,50,81.66,12.89,10.92,-2.17,4091.52,83.58,50,1
468000,468000.94,2.12,1812.36,3848.27,50,81.4,12.89,10.92,-1.78,4039.09,83.39,50,1
468600,468600.94,2.11,1795.25,3795.01,50,81.12,12.89,10.91,-1.4,3986.67,83.2,50,1
469200,469200.94,2.1,1778.34,3742.57,50,80.83,12.89,10.91,-1.03,3941.46,83.02,50,1
469800,469800.94,2.1,1761.4,3690.14,50,80.55,12.89,10.91,-0.67,3896.25,82.83,50,1
470400,470400.94,2.09,1744.43,3637.71,50,80.27,12.89,10.91,-0.3,3851.03,82.65,50,1
471000,471000.94,2.08,1727.43,3585.27,50,79.98,12.89,10.91,0.07,3805.82,82.47,50,1
471600,471600.94,2.07,1710.61,3533.62,50,79.7,12.89,10.91,0.43,3760.61,82.28,50,1
472200,472200.94,2.05,1693.45,3476.62,50,79.52,12.89,10.92,0.8,3715.38,82.1,50,1
472800,472800.94,2.04,1676.35,3420.05,50,79.33,12.89,10.92,1.12,3664.42,81.94,50,1
473400,473400.94,2.03,1659.19,3363.49,50,79.15,12.89,10.92,1.43,3613.46,81.78,50,1
474000,474000.94,2.01,1641.96,3306.93,50,78.97,12.89,10.92,1.75,3562.49,81.62,50,1
474600,474600.94,2,1624.67,3250.37,50,78.78,12.89,10.92,2.07,3511.53,81.47,50,1
475200,475200.94,1.99,1607.58,3194.79,50,78.6,12.89,10.92,2.38,3460.57,81.31,50,1
475800,475800.94,1.98,1594.93,3150.51,50,78.55,12.89,10.91,2.7,3409.62,81.15,50,1
476400,476400.94,1.96,1582.37,3106.74,50,78.5,12.89,10.91,2.95,3368.56,81.02,50,1
477000,477000.97,1.95,1569.74,3062.97,50,78.45,12.89,10.91,3.2,3327.5,80.9,50,1
477600,477600.97,1.94,1557.06,3019.2,50,78.4,12.89,10.91,3.45,3286.43,80.77,50,1
478200,478200.97,1.93,1544.31,2975.43,50,78.35,12.89,10.91,3.7,3245.37,80.65,50,1
478800,478800.97,1.91,1531.58,2931.98,50,78.3,12.89,10.91,3.95,3204.31,80.52,50,1
479400,479400.97,1.91,1526.62,2915.29,50,78.27,12.89,10.9,4.2,3163.29,80.4,50,1
480000,480000.97,1.9,1521.7,2898.8,50,78.25,12.89,10.9,4.35,3149.76,80.32,50,1
480600,480600.97,1.9,1516.77,2882.31,50,78.23,12.89,10.9,4.5,3136.22,80.25,50,1
481200,481200.97,1.9,1511.84,2865.81,50,78.2,12.89,10.9,4.65,3122.68,80.17,50,1
481800,481800.97,1.89,1506.89,2849.32,50,78.17,12.89,10.9,4.8,3109.15,80.1,50,1
482400,482400.97,1.89,1502.07,2833.29,50,78.15,12.89,10.9,4.95,3095.61,80.02,50,1
483000,483000.97,1.88,1493.72,2803.83,50,78.16,12.89,10.9,5.1,3082.05,79.95,50,1
483600,483600.97,1.87,1485.44,2774.73,50,78.17,12.89,10.9,5.13,3053.62,79.93,50,1
484200,484200.97,1.86,1477.13,2745.64,50,78.18,12.89,10.9,5.17,3025.19,79.92,50,1
484800,484800.97,1.85,1468.77,2716.54,50,78.18,12.89,10.9,5.2,2996.76,79.9,50,1
485400,485400.97,1.84,1460.38,2687.45,50,78.19,12.89,10.9,5.23,2968.33,79.88,50,1
486000,486000.97,1.83,1451.86,2658.06,50,78.2,12.89,10.9,5.27,2939.9,79.87,50,1
486600,486600.97,1.83,1451.14,2654.5,50,78.23,12.89,10.89,5.3,2911.52,79.85,50,1
487200,487200.97,1.83,1450.3,2650.52,50,78.27,12.89,10.89,5.18,2910.86,79.91,50,1
487800,487800.97,1.83,1449.45,2646.54,50,78.3,12.89,10.89,5.07,2910.19,79.97,50,1
488400,488400.97,1.82,1448.61,2642.57,50,78.33,12.89,10.89,4.95,2909.53,80.03,50,1
489000,489000.97,1.82,1447.76,2638.59,50,78.37,12.89,10.89,4.83,2908.87,80.08,50,1
489600,489600.97,1.82,1447.16,2635.49,50,78.4,12.89,10.89,4.72,2908.21,80.14,50,1
490200,490200.97,1.82,1451.42,2645.28,50,78.54,12.89,10.88,4.6,2907.57,80.2,50,1
490800,490800.97,1.82,1455.81,2655.55,50,78.68,12.89,10.88,4.37,2921.68,80.32,50,1
491400,491400.97,1.83,1460.2,2665.81,50,78.83,12.89,10.88,4.13,2935.78,80.43,50,1
492000,492000.97,1.83,1464.6,2676.08,50,78.97,12.89,10.88,3.9,2949.89,80.55,50,1
492600,492900.5,1.83,1474.84,2704,50,79.18,12.89,10.88,3.55,2971.05,80.73,50,1
493200,493201,1.83,1473.2,2696.04,50,79.25,12.89,10.88,3.2,2992.18,80.9,50,1
493800,493801,1.84,1483.95,2730.49,50,79.32,12.89,10.87,3.2,2992.25,80.9,50,1
494400,494401,1.85,1494.55,2764.58,50,79.38,12.89,10.87,2.95,3034.55,81.03,50,1
495000,495001,1.86,1505.1,2798.68,50,79.45,12.89,10.87,2.7,3076.85,81.15,50,1
495600,495601,1.87,1515.62,2832.77,50,79.52,12.89,10.87,2.45,3119.16,81.28,50,1
496200,496201,1.88,1526.09,2866.86,50,79.58,12.89,10.87,2.2,3161.46,81.4,50,1
496800,496800.5,1.89,1540.81,2916.01,50,79.65,12.89,10.87,1.82,3224.88,81.59,50,1
497400,497401,1.89,1543.58,2923.3,50,79.72,12.89,10.88,1.7,3246.04,81.65,50,1
498000,498001,1.9,1550.62,2945.68,50,79.78,12.89,10.88,1.65,3273.94,81.68,50,1
498600,498601,1.91,1557.65,2968.05,50,79.85,12.89,10.88,1.6,3301.84,81.7,50,1
499200,499201,1.91,1564.67,2990.42,50,79.92,12.89,10.88,1.55,3329.74,81.73,50,1
499800,500100.5,1.92,1575.19,3024.08,50,80.02,12.89,10.88,1.47,3371.59,81.76,50,1
500400,500401,1.92,1578.65,3035.14,50,80.05,12.89,10.88,1.4,3413.39,81.8,50,1
501000,501001,1.92,1580.69,3039.95,50,80.12,12.89,10.88,1.4,3413.4,81.8,50,1
501600,501601,1.92,1582.74,3044.77,50,80.18,12.89,10.89,1.35,3419.95,81.83,50,1
502200,502201,1.92,1584.78,3049.59,50,80.25,12.89,10.89,1.3,3426.5,81.85,50,1
502800,502801,1.92,1586.82,3054.4,50,80.32,12.89,10.89,1.25,3433.05,81.88,50,1
503400,503700.5,1.94,1604.55,3114.28,50,80.41,12.89,10.89,1.17,3442.88,81.91,50,1
504000,504001,1.93,1590.69,3063.31,50,80.45,12.89,10.88,1.1,3452.69,81.95,50,1
504600,504601,1.92,1590.99,3061.9,50,80.52,12.89,10.89,1.1,3452.68,81.95,50,1
505200,505201,1.92,1591.08,3059.78,50,80.58,12.89,10.89,1.05,3449.9,81.98,50,1
505800,505801,1.92,1591.17,3057.66,50,80.65,12.89,10.89,1,3447.12,82,50,1
506400,506401,1.92,1591.26,3055.53,50,80.72,12.89,10.89,0.95,3444.34,82.03,50,1
507000,507001,1.92,1591.34,3053.41,50,80.78,12.89,10.89,0.9,3441.56,82.05,50,1
507600,507600.5,1.94,1609.86,3117.31,50,80.85,12.89,10.89,0.82,3437.39,82.09,50,1
508200,508201.03,1.91,1587.65,3035.54,50,80.92,12.89,10.89,0.8,3435.96,82.1,50,1
508800,508801.03,1.91,1583.88,3019.81,50,80.98,12.89,10.89,0.75,3416.43,82.13,50,1
509400,509401.03,1.9,1580.08,3004.08,50,81.05,12.89,10.9,0.7,3396.89,82.15,50,1
510000,510001.03,1.9,1576.27,2988.35,50,81.12,12.89,10.89,0.65,3377.36,82.18,50,1
510600,510900.5,1.89,1571.62,2968.56,50,81.22,12.89,10.89,0.57,3348.05,82.21,50,1
511200,511201.03,1.88,1568.43,2956.23,50,81.25,12.89,10.89,0.5,3318.78,82.25,50,1
511800,511801.03,1.87,1558.46,2919.25,50,81.32,12.89,10.9,0.5,3318.7,82.25,50,1
512400,512401.03,1.86,1548.24,2881.66,50,81.38,12.89,10.91,0.45,3273.51,82.28,50,1
513000,513001.03,1.85,1537.95,2844.06,50,81.45,12.89,10.91,0.4,3228.32,82.3,50,1
513600,513601.03,1.84,1527.6,2806.47,50,81.52,12.89,10.91,0.35,3183.13,82.33,50,1
514200,514201.03,1.83,1517.17,2768.87,50,81.58,12.89,10.9,0.3,3137.94,82.35,50,1
514800,514800.5,1.82,1512.79,2751.98,50,81.65,12.89,10.9,0.22,3070.19,82.39,50,1
515400,515401.03,1.8,1496.4,2694.69,50,81.72,12.89,10.9,0.2,3047.56,82.4,50,1
516000,516001.03,1.79,1486.06,2658.1,50,81.78,12.89,10.9,0.15,3003.24,82.43,50,1
516600,516601.03,1.78,1475.64,2621.52,50,81.85,12.89,10.9,0.1,2958.93,82.45,50,1
517200,517201.03,1.76,1465.15,2584.93,50,81.92,12.89,10.9,0.05,2914.62,82.48,50,1
517800,517801.03,1.75,1454.58,2548.35,50,81.98,12.89,10.9,0,2870.3,82.5,50,1
518400,518400.5,1.74,1445.9,2518.17,50,82.05,12.89,10.9,-0.08,2803.87,82.54,50,1
519000,519001.03,1.74,1446.42,2517.64,50,82.13,12.89,10.89,-0.1,2781.76,82.55,50,1
519600,519601.03,1.74,1448.88,2523.42,50,82.2,12.89,10.88,-0.12,2784.06,82.56,50,1
520200,520201.03,1.74,1451.34,2529.19,50,82.28,12.89,10.88,-0.13,2786.37,82.57,50,1
520800,520801.03,1.74,1453.79,2534.97,50,82.35,12.89,10.88,-0.15,2788.67,82.58,50,1
521400,521700.5,1.75,1461.08,2555.38,50,82.46,12.89,10.88,-0.18,2792.13,82.59,50,1
522000,522001.03,1.75,1458.61,2546.21,50,82.5,12.89,10.88,-0.2,2795.59,82.6,50,1
522600,522601.03,1.75,1467.54,2573.06,50,82.58,12.89,10.88,-0.2,2795.63,82.6,50,1
523200,523201.03,1.76,1476.33,2599.56,50,82.65,12.89,10.87,-0.2,2819.22,82.6,50,0
523800,523801.06,1.77,1485.1,2626.07,50,82.73,12.89,10.87,-0.2,2842.8,82.6,50,0
524400,524401.06,1.78,1493.84,2652.57,50,82.8,12.89,10.87,-0.2,2866.39,82.6,50,0
525000,525001.06,1.78,1502.56,2679.07,50,82.88,12.89,10.87,-0.2,2889.98,82.6,50,0
525600,525600.5,1.79,1512.62,2710.16,50,82.95,12.89,10.87,-0.2,2925.34,82.6,50,0
526200,526201.06,1.79,1516.75,2721.55,50,83.03,12.89,10.88,-0.2,2937.13,82.6,50,0
526800,526801.06,1.8,1522.25,2737.54,50,83.1,12.89,10.88,-0.2,2947.48,82.6,50,0
527400,527401.06,1.8,1527.75,2753.53,50,83.18,12.89,10.88,-0.2,2957.83,82.6,50,0
528000,528001.06,1.81,1533.23,2769.52,50,83.25,12.89,10.88,-0.2,2968.17,82.6,50,0
528600,528900.5,1.82,1546.62,2810.95,50,83.36,12.89,10.88,-0.2,2983.69,82.6,50,0
529200,529201.06,1.81,1544.03,2800.99,50,83.4,12.89,10.88,-0.2,2999.19,82.6,50,0
529800,529801.06,1.82,1549.87,2819.29,50,83.44,12.89,10.88,-0.2,2999.21,82.6,50,0
530400,530401.06,1.82,1555.58,2837.19,50,83.48,12.89,10.88,-0.2,3011.27,82.6,50,0
531000,531001.06,1.83,1561.27,2855.09,50,83.53,12.89,10.88,-0.2,3023.32,82.6,50,0
531600,531601.06,1.83,1566.96,2873,50,83.57,12.89,10.88,-0.2,3035.37,82.6,50,0
532200,532500.5,1.84,1576.04,2901.83,50,83.63,12.89,10.88,-0.2,3053.45,82.6,50,0
532800,532801.06,1.84,1578.25,2908.64,50,83.65,12.89,10.88,-0.2,3071.5,82.6,50,0
533400,533401.06,1.85,1589.03,2944.06,50,83.69,12.89,10.87,-0.2,3071.55,82.6,50,0
534000,534001.06,1.86,1599.7,2979.28,50,83.73,12.89,10.87,-0.2,3101.02,82.6,50,0
534600,534601.06,1.87,1610.33,3014.51,50,83.78,12.89,10.87,-0.2,3130.48,82.6,50,0
535200,535201.06,1.88,1620.92,3049.74,50,83.82,12.89,10.87,-0.2,3159.94,82.6,50,0
535800,535801.06,1.89,1631.47,3084.96,50,83.86,12.89,10.87,-0.2,3189.4,82.6,50,0
536400,536400.5,1.9,1642.17,3120.87,50,83.9,12.89,10.87,-0.2,3233.57,82.6,50,0
537000,537001.06,1.92,1658.9,3178.12,50,83.94,12.89,10.86,-0.2,3248.36,82.6,50,0
537600,537601.06,1.93,1675.69,3236.01,50,83.98,12.89,10.86,-0.2,3299.17,82.6,50,0
538200,538201.06,1.95,1692.38,3293.91,50,84.03,12.89,10.86,-0.2,3349.99,82.6,50,0
538800,538801.06,1.96,1708.96,3351.8,50,84.07,12.89,10.86,-0.2,3400.8,82.6,50,0
539400,539700.5,1.98,1734.22,3440.77,50,84.13,12.89,10.86,-0.2,3477.02,82.6,50,0
540000,540001.06,1.99,1741.79,3467.45,50,84.15,12.89,10.86,-0.2,3553.14,82.6,50,0
540600,540601.06,2.01,1762.08,3540.35,50,84.18,12.89,10.85,-0.2,3553.26,82.6,50,0
541200,541201.06,2.03,1782.18,3613.12,50,84.22,12.89,10.85,-0.18,3616.7,82.59,50,0
541800,541801.06,2.05,1802.13,3685.89,50,84.25,12.89,10.85,-0.17,3680.15,82.58,50,0
542400,542401.06,2.06,1821.95,3758.65,50,84.28,12.89,10.85,-0.15,3743.6,82.57,50,0
543000,543300.5,2.09,1852.51,3872.06,50,84.33,12.89,10.85,-0.12,3838.76,82.56,50,0
543600,543601.06,2.1,1861.1,3903.93,50,84.35,12.89,10.85,-0.1,3933.82,82.55,50,0
544200,544201.06,2.11,1873.26,3949.24,50,84.38,12.89,10.86,-0.1,3933.88,82.55,50,0
544800,544801.06,2.12,1885.32,3994.38,50,84.4,12.89,10.86,-0.1,3968.13,82.55,50,0
